OnsetDate,P1wk,T1wk,R,T
2014/1/1,0,10.08214286,0,11.275
2014/1/2,0,10.33214286,0,13.2375
2014/1/3,0,11.21785714,0,17.05
2014/1/4,0,12.3,0,15.5125
2014/1/5,0,12.8625,0,12.475
2014/1/6,0,13.40892857,0,13.45
2014/1/7,0.3,14.28214286,0.3,16.975
2014/1/8,1.1,14.78571429,0.8,14.8
2014/1/9,1.1,14.67857143,0,12.4875
2014/1/10,1.1,14.04464286,0,12.6125
2014/1/11,1.1,13.975,0,15.025
2014/1/12,1.1,14.17321429,0,13.8625
2014/1/13,1.1,13.70357143,0,10.1625
2014/1/14,0.8,12.71785714,0,10.075
2014/1/15,0,11.96428571,0,9.525
2014/1/16,0,11.63928571,0,10.2125
2014/1/17,0,11.53928571,0,11.9125
2014/1/18,0,11.35178571,0,13.7125
2014/1/19,0,10.8375,0,10.2625
2014/1/20,0,11.21964286,0,12.8375
2014/1/21,0,11.52142857,0,12.1875
2014/1/22,0,11.42678571,0,8.8625
2014/1/23,0,11.23571429,0,8.875
2014/1/24,0,11.38571429,0,12.9625
2014/1/25,0,11.825,0,16.7875
2014/1/26,0,13,0,18.4875
2014/1/27,0,13.53571429,0,16.5875
2014/1/28,0,13.94642857,0,15.0625
2014/1/29,0,14.9375,0,15.8
2014/1/30,0,15.99642857,0,16.2875
2014/1/31,0,16.57142857,0,16.9875
2014/2/1,0,16.70892857,0,17.75
2014/2/2,0,16.56607143,0,17.4875
2014/2/3,0,16.80357143,0,18.25
2014/2/4,0,17.15,0,17.4875
2014/2/5,0.1,17.55,0.1,18.6
2014/2/6,0.1,18.04464286,0,19.75
2014/2/7,0.9,18.13928571,0.8,17.65
2014/2/8,3.5,17.08571429,2.6,10.375
2014/2/9,14.7,15.79642857,11.2,8.4625
2014/2/10,14.9,14.12678571,0.2,6.5625
2014/2/11,14.9,12.34642857,0,5.025
2014/2/12,15.8,10.38928571,1,4.9
2014/2/13,21.4,8.346428571,5.6,5.45
2014/2/14,20.6,6.966071429,0,7.9875
2014/2/15,18,6.542857143,0,7.4125
2014/2/16,6.8,7.055357143,0,12.05
2014/2/17,6.6,8.428571429,0,16.175
2014/2/18,10.6,9.3,4,11.125
2014/2/19,16,9.555357143,6.4,6.6875
2014/2/20,10.4,10.06071429,0,8.9875
2014/2/21,10.4,10.43392857,0,10.6
2014/2/22,11.5,11.04642857,1.1,11.7
2014/2/23,12.4,11.46964286,0.9,15.0125
2014/2/24,12.4,11.50892857,0,16.45
2014/2/25,8.9,12.63928571,0.5,19.0375
2014/2/26,2.5,14.54464286,0,20.025
2014/2/27,2.5,16.21607143,0,20.6875
2014/2/28,2.9,17.43035714,0.4,19.1
2014/3/1,1.8,18.72678571,0,20.775
2014/3/2,0.9,18.88571429,0,16.125
2014/3/3,0.9,18.61428571,0,14.55
2014/3/4,0.6,17.98571429,0.2,14.6375
2014/3/5,0.8,17.17321429,0.2,14.3375
2014/3/6,1,16.38571429,0.2,15.175
2014/3/7,3.6,15.63035714,3,13.8125
2014/3/8,4.6,14.55714286,1,13.2625
2014/3/9,12.6,13.81428571,8,10.925
2014/3/10,20.6,13.375,8,11.475
2014/3/11,20.6,13.22321429,0.2,13.575
2014/3/12,28.7,13.62857143,8.3,17.175
2014/3/13,46.6,14.1375,18.1,18.7375
2014/3/14,43.6,14.22857143,0,14.45
2014/3/15,42.8,14.36964286,0.2,14.25
2014/3/16,34.8,15.11607143,0,16.15
2014/3/17,26.8,16.28035714,0,19.625
2014/3/18,26.6,17.39285714,0,21.3625
2014/3/19,18.3,18.06607143,0,21.8875
2014/3/20,0.8,18.225,0.6,19.85
2014/3/21,1.4,18.1125,0.6,13.6625
2014/3/22,1.2,18.35714286,0,15.9625
2014/3/23,1.2,18.64464286,0,18.1625
2014/3/24,1.2,18.53035714,0,18.825
2014/3/25,1.2,18.4625,0,20.8875
2014/3/26,1.2,18.43214286,0,21.675
2014/3/27,0.6,18.78392857,0,22.3125
2014/3/28,0,20.15892857,0,23.2875
2014/3/29,9.7,21.05357143,9.7,22.225
2014/3/30,146.8,21.3375,137.1,20.15
2014/3/31,227.8,21.475,81,19.7875
2014/4/1,239.8,21.23214286,12,19.1875
2014/4/2,274.8,20.87321429,35,19.1625
2014/4/3,311.2,20.67142857,36.4,20.9
2014/4/4,329.3,20.33571429,18.1,20.9375
2014/4/5,319.6,20.05357143,0,20.25
2014/4/6,198.7,19.7,16.2,17.675
2014/4/7,117.7,19.68214286,0,19.6625
2014/4/8,106.6,19.94107143,0.9,21
2014/4/9,71.6,20.56428571,0,23.525
2014/4/10,35.2,20.90714286,0,23.3
2014/4/11,17.1,21.30357143,0,23.7125
2014/4/12,17.1,21.94642857,0,24.75
2014/4/13,0.9,23.2625,0,26.8875
2014/4/14,1.7,23.91964286,0.8,24.2625
2014/4/15,0.8,24.23571429,0,23.2125
2014/4/16,0.8,24.175,0,23.1
2014/4/17,0.8,24.38392857,0,24.7625
2014/4/18,0.8,24.44285714,0,24.125
2014/4/19,0.8,24.475,0,24.975
2014/4/20,0.8,24.21607143,0,25.075
2014/4/21,0,24.38035714,0,25.4125
2014/4/22,0.2,24.425,0.2,23.525
2014/4/23,3.5,24.18392857,3.3,21.4125
2014/4/24,3.5,23.93035714,0,22.9875
2014/4/25,3.5,23.99285714,0,24.5625
2014/4/26,23.5,23.65714286,20,22.625
2014/4/27,23.7,23.44285714,0.2,23.575
2014/4/28,23.7,23.25,0,24.0625
2014/4/29,23.5,23.14821429,0,22.8125
2014/4/30,55.3,22.7125,35.1,18.3625
2014/5/1,71.3,22.34285714,16,20.4
2014/5/2,71.3,22.22321429,0,23.725
2014/5/3,51.3,22.59464286,0,25.225
2014/5/4,59.1,22.46428571,8,22.6625
2014/5/5,121.1,21.65535714,62,18.4
2014/5/6,131.5,21.07321429,10.4,18.7375
2014/5/7,156,21.21071429,59.6,19.325
2014/5/8,181.5,21.35,41.5,21.375
2014/5/9,218.2,21.00714286,36.7,21.325
2014/5/10,220,20.75892857,1.8,23.4875
2014/5/11,226.9,20.875,14.9,23.475
2014/5/12,168.9,21.7,4,24.175
2014/5/13,167.5,22.83214286,9,26.6625
2014/5/14,108,24.10178571,0.1,28.2125
2014/5/15,66.8,24.96785714,0.3,27.4375
2014/5/16,88.1,25.60892857,58,25.8125
2014/5/17,129.3,26.03035714,43,26.4375
2014/5/18,134.4,26.16785714,20,24.4375
2014/5/19,141.1,26.30892857,10.7,25.1625
2014/5/20,149.1,26.13214286,17,25.425
2014/5/21,236,25.725,87,25.3625
2014/5/22,261.7,25.45357143,26,25.5375
2014/5/23,222.7,25.14642857,19,23.6625
2014/5/24,184.9,25.10178571,5.2,26.125
2014/5/25,164.9,25.64821429,0,28.2625
2014/5/26,164.3,26.06785714,10.1,28.1
2014/5/27,150.3,26.5,3,28.45
2014/5/28,63.3,26.9125,0,28.25
2014/5/29,37.3,27.22142857,0,27.7
2014/5/30,18.6,27.94285714,0.3,28.7125
2014/5/31,13.4,28.4625,0,29.7625
2014/6/1,13.4,28.74821429,0,30.2625
2014/6/2,3.3,29.01607143,0,29.975
2014/6/3,15.7,28.70178571,15.4,26.25
2014/6/4,15.7,28.81607143,0,29.05
2014/6/5,71.7,28.79821429,56,27.575
2014/6/6,107.6,28.29464286,36.2,25.1875
2014/6/7,118.6,27.74821429,11,25.9375
2014/6/8,120,27.55714286,1.4,28.925
2014/6/9,137,27.24821429,17,27.8125
2014/6/10,121.6,27.39285714,0,27.2625
2014/6/11,151.2,26.88035714,29.6,25.4625
2014/6/12,95.8,26.87678571,0.6,27.55
2014/6/13,59.6,27.28035714,0,28.0125
2014/6/14,48.6,27.76607143,0,29.3375
2014/6/15,47.2,27.90357143,0,29.8875
2014/6/16,30.7,28.31607143,0.5,30.7
2014/6/17,31.8,28.48214286,1.1,28.425
2014/6/18,2.2,28.93035714,0,28.6
2014/6/19,1.9,29.20178571,0.3,29.45
2014/6/20,10.9,29.25,9,28.35
2014/6/21,43.7,28.93214286,32.8,27.1125
2014/6/22,56.1,28.50178571,12.4,26.875
2014/6/23,61.6,27.93928571,6,26.7625
2014/6/24,125.3,27.82321429,64.8,27.6125
2014/6/25,148.3,27.66785714,23,27.5125
2014/6/26,148,27.74464286,0,29.9875
2014/6/27,139,28.02857143,0,30.3375
2014/6/28,106.2,28.50714286,0,30.4625
2014/6/29,105.8,28.81428571,12,29.025
2014/6/30,105,29.04464286,5.2,28.375
2014/7/1,57.2,29.04642857,17,27.625
2014/7/2,42.2,29.11428571,8,27.9875
2014/7/3,42.2,29.05,0,29.5375
2014/7/4,42.2,29.03035714,0,30.2
2014/7/5,42.2,29.10178571,0,30.9625
2014/7/6,30.2,29.36607143,0,30.875
2014/7/7,25.1,29.52857143,0.1,29.5125
2014/7/8,18.3,29.57321429,10.2,27.9375
2014/7/9,10.6,29.81964286,0.3,29.7125
2014/7/10,26.6,29.73214286,16,28.925
2014/7/11,40.6,29.29642857,14,27.15
2014/7/12,43.6,28.80714286,3,27.5375
2014/7/13,60.7,28.43035714,17.1,28.2375
2014/7/14,71.6,28.42321429,11,29.4625
2014/7/15,61.8,28.66607143,0.4,29.6375
2014/7/16,61.5,28.58571429,0,29.15
2014/7/17,45.5,28.64821429,0,29.3625
2014/7/18,39.5,28.62678571,8,27
2014/7/19,60.6,28.64464286,24.1,27.6625
2014/7/20,51.7,28.66428571,8.2,28.375
2014/7/21,40.8,28.40892857,0.1,27.675
2014/7/22,40.4,28.41964286,0,29.7125
2014/7/23,40.4,28.69642857,0,31.0875
2014/7/24,80.4,28.7375,40,29.65
2014/7/25,78.5,28.8,6.1,27.4375
